"id","service","s_amount"
7,Lavka,"[-707,-545,-1181,194,81]"
7,Market,"[1283,-91,688,89,-894]"
7,Taxi,"[-113,-627,303,1402,3250,-775,387,1773]"
8,Drive,"[-1040,-809,1958]"
8,Eda,[21]
8,Lavka,"[909,-909,783,383]"
8,Market,"[257,426,2261]"
8,Taxi,"[167,-188]"
9,Drive,"[-1678,355,1381,1256,476,294,-2855,121,1115,3691,716,-205,-18,-2023,-2492]"
9,Eda,"[-315,-751,-466,847,909,153,-1659,-657,-1057,-70,-914,-265,-74,-2025]"
9,Lavka,"[5054,-103,1329,-436,4671,73,-962,-789,953,425]"
9,Market,"[-1279,884,649,321,-2664,-707]"
9,Taxi,"[168,1001,140,-1088,660,2281,-1693,28,-1765,1039,20,-579,-1376]"
10,Drive,"[1085,584,-131,318,282,987,-1915,422,1683,1208,99,350,243,1361,-2115,861,-1805,-248]"
10,Eda,"[-559,-148,512,-1033,-298,-2738,49,2074,-248,1281,-52,1397]"
10,Lavka,"[148,-511,445,280,-411,92,994,-1334,1629,-781,-148,-700,233,-54,-2130,-1095,206]"
10,Market,"[-526,511,-453,-600,922,1196,-99,-419,-65,-1079,638,75,-245,-155,3408]"
10,Taxi,"[451,682,-10,-2135,-282,2089,1805,441,274,480,-1482]"
11,Drive,"[2625,-934,435,196,126,-567]"
11,Eda,"[-775,-903,240,330,1872,-665,945]"
11,Lavka,"[-1201,-240,275,-567,3513]"
11,Market,"[271,158,2135,-560]"
11,Taxi,"[930,-978,372,2363,882,-153,-27]"
12,Drive,"[1682,892,566,-133,-433,97,-207,837,-107,-433,-37,39,1690,-1509]"
12,Eda,"[-445,-823,-431,-61,59,-3834,1102]"
12,Lavka,"[-630,-760,-576,1597,-929,-2053,869,2598,1179,150]"
12,Market,"[87,461,-1224,509,1447,813,-220,-4068,37,-184,-227,591,1304,-1723]"
12,Taxi,"[764,-221,1351,781,1753,1000,305,-299,79,-908,-360,-832,996,-1225,-50,-302,74,596,2399]"
13,Drive,"[-970,711,2516,153,2716,2003,-999]"
13,Eda,"[1569,113,462,401,-2100,781,-2093,-774,650,2184,5600,930]"
13,Lavka,"[38,-388,-2278,-23,722,2022,-1228,1894,-2343,1692]"
13,Market,"[285,-519,-813,115,1699,178,-500,-1427,1073]"
13,Taxi,"[-38,2987,572,-416,-788,-606,-401,686,764,-940,-4717,-770,1778]"
14,Drive,"[222,1959,49,-388,-602,-243,-398,2302,-80,-269,-848]"
14,Eda,"[4574,-11,-119,126,2104,-56,-103,191,3626,1667,-2290,-2082,1761,-4108,1821,304,642,-1062,106,-965,498]"
14,Lavka,"[440,879,-486,543,443,1301,604,1126,-55,610,292,2360,1053,438,431,-1601,-76,182,-230,450]"
14,Market,"[10,-450,-633,-1382,-140,1062,-1771,-435,-2199,992,224,225,62,-3398]"
14,Taxi,"[-1448,-543,-693,-722,444,-560,738,655,-1090,-357,-615,-279]"
15,Drive,"[-789,419,1473,-1387,-1114,2052,-2311,-151,-623]"
15,Eda,"[-903,-209,-1528,-3371,2182,-807,-2768,257,746,-1251,80,1702]"
15,Lavka,"[-318,-1044,1575,1465,-569,328,5340,-35]"
15,Market,"[257,-257,1058,-582,433,-1521,148,-1108,2053,15]"
15,Taxi,"[318,789,54,1534,619,1643,-1061,758,-758,1796,-1473,675,-358,-132,3118,703,1646,1202,1112,-1374,669,1912]"
16,Drive,"[2896,-3665,747,1082,-382,-766]"
16,Eda,"[230,183,2534,2366,-478,-418,999,-1633,683,-245]"
16,Lavka,"[2727,-494,-259,1328,-1083,-132,1165,3479,-1984]"
16,Market,"[1555,-160,-973,-2392,212,78,3259]"
16,Taxi,"[60,-127]"
17,Drive,"[-846,171,55,-187,722,71,1594,205,1436,856,17,870,-1766,-35,-124,-4014,-1214,229,1444,782,-1152,1196,-1794,373]"
17,Eda,"[649,48,-993,1048,152,-71,-428,-2551,2285,-513,-797,159,334,1035,195,3534,-618,-1675,711,-9]"
17,Lavka,"[-373,2896,514,-1013,1164,180,21,-495,388,-1017,747,-1789,2116,2015,-44,1162,923,1951]"
17,Market,"[619,1519,-1063,-303,-340,693,901,-2833,651,-156,-1984,955,668,-242,-298,776,831,-799,524]"
17,Taxi,"[-649,-2091,-722,489,1073,1105,3545,1768,-252,369,1378,-742]"
18,Drive,[1199]
18,Lavka,"[-307,22]"
18,Market,"[1863,-1716,-892,77]"
18,Taxi,[-147]
19,Drive,"[1291,563,1045,1494,995,-1977,-829]"
19,Eda,"[-857,-2233,936,-586,1443,-21,-334,220]"
19,Lavka,"[427,-755,-563,-350,451,2242,632,833,398]"
19,Market,"[-1039,-905,-3158,837,934]"
19,Taxi,"[1105,-24,2085,905,-920,293,248,-1286,1106,-7,462]"
20,Drive,"[-2344,-57]"
20,Eda,"[-817,1698,400,1126,-982,-1219,216,92]"
20,Lavka,"[3161,-72,921,670]"
20,Market,"[425,2108,103,981,-300]"
20,Taxi,"[-368,-408,-700,-244]"
21,Drive,"[2256,-2981,-739]"
21,Eda,"[843,1483,-287,-2599,1446]"
21,Lavka,"[90,900]"
21,Market,"[725,-859,-161,-73,-655]"
21,Taxi,"[-74,2427,-383,87,579,-579]"
22,Drive,"[1729,-1729,946,822,856,810,828,1044,-237,85,-1647,943,437]"
22,Eda,"[94,266,147,-230,1051,1243,-216,-1921,-1314,260,501,495,515,70,991,116]"
22,Lavka,"[997,-997,1891,1079,1664,-623,500,1204,-1723]"
22,Market,"[199,-758,592,-507,-461,652,59,-4268,1577,619]"
22,Taxi,"[66,-1373,-1248,-1492,-487,1673,-313,1781,-150,919,-3878,-992,496,-491]"
23,Drive,"[1435,-85,-70,458,952,-985,687,-793,333]"
23,Eda,"[-1422,-70,-552,2229,-34,1475]"
23,Lavka,"[-49,-525,-114,-117,2626,-2799,3233,1148,2672,1763,424,1463]"
23,Market,"[-641,-851,-1038,71,-192,1942,-599]"
23,Taxi,"[-794,985,1315,1964,-2120,-118,1617,-395,115,809,-495]"
24,Drive,"[584,2276,295,357,386,-61,1305,-1246,246]"
24,Eda,"[-926,-283,-1022,498,-1500,-4,-24,1106,623,1219,583,30]"
24,Lavka,"[649,-725,246,-28,2819,1906,-902,-228]"
24,Market,"[926,343,-271,1590,-573,309,-545,315,-484,-265,730,1431]"
24,Taxi,"[229,-4385,-502,-1192,-184,-317,-472,-230,-1353]"
25,Drive,"[-119,-773,570]"
25,Eda,"[-685,1269]"
25,Lavka,"[804,58,598,-842,157]"
25,Market,"[784,1469,284]"
25,Taxi,"[-1501,1159]"
26,Drive,"[394,3251,1750,-833,2039,-950,-291,477,363,717,-266,-768,-2693,-1433,2127,-364,2591]"
26,Eda,"[1072,2204,-481,267,-2471,-189,-333,-474,280,-266,1191,-1893,627,152]"
26,Lavka,"[1555,-263,-640,-437,-275,460,859,-734,521,686,201,-102,494,2394,1922,-1578]"
26,Market,"[629,24,487,-509,-661,-3324,-236,303,1926,43]"
26,Taxi,"[2550,201,-1446,-144,-73,134,264,1691,3127,254,1290,910,-1410,-5,48,278,-754,2621,1466]"
27,Drive,"[-557,-145,-711,-32,2,-449,-786,1884,1637,-599,-1523,-123,295,-41,1326]"
27,Eda,"[-153,557,3409,-2124,32,1048,780,150,81,39,762,-341,-49,737,-1206,-175,-1728,504,686]"
27,Lavka,"[1863,145,-3,1434,-493,-1629,-56,323,1633,42,92,118,-2354,-738,-123,-1676,2017,601,141,-892,530,-1585]"
27,Market,"[-859,435,447,595,-1968,290,-1206,-851,2160,3314,655,-3360,-896,-794,-617,576,-811,-504,108,1990]"
27,Taxi,"[-1286,-571,-683,3136,-1510,-851,-1620,4228,2285,765,1265,2259,-1635,911,396,1464,-518,3275,1510,-287,2683,31]"
28,Drive,"[-1181,1424,3023,-1255,1836,2017,-1331,75]"
28,Eda,"[556,-247,-1303,684,681,2559,909,-1116,1,1313,-677]"
28,Lavka,"[410,771,1093,762,4489]"
28,Market,"[-541,118,113,180,1693,907,-973,-112,-1211,4252,-946,-3644,-119,1275,202,-627,4341,-1551]"
28,Taxi,"[2953,1842,1342]"
29,Drive,"[536,764,-46,1,417,574,-101]"
29,Eda,"[2512,1070,68,-353,864,1399,944,998,519,-641]"
29,Lavka,"[2286,442,-1086,-85,563,723,-760,-6538,-397,126,-464,-102,323,-884]"
29,Market,"[-270,42,-152,515,2462,514,-45]"
29,Taxi,"[-306,860,-786,1510,339]"
30,Drive,"[3950,-415,85,255,-297,727,1990,-89,-1049,-357,-334]"
30,Eda,"[655,-655,2122,730,-1589,378,-838,514,1499,770,193,-308,-671]"
30,Lavka,"[792,209,-1417,447,1656,-1055,243,504,-1439,1549]"
30,Market,"[1940,370,85,-972,-2257,-512,494,184,-8,1173,791,-1928,-2985,1086]"
30,Taxi,"[597,12,447,-867,-128,-2062,393,-608,-424,-1612]"
31,Drive,"[-2126,464,-515,1039,796,151,411,-487,1303,2772,400,261,345,462,4263,-2005,-130,1991,-796]"
31,Eda,"[2126,425,-1362,1,2518,-953,-16,134,166,1467,6260,289,1800,631,-435,929,-94]"
31,Lavka,"[-425,-494,328,287,-240,-26,512,76,-81,373,-52,86,-758,364]"
31,Market,"[1240,-1224,-344,513,-2182,20,476,1120,-394,1118,839,-789,-1286,1041]"
31,Taxi,"[1856,285,-522,-799,-2366,31,-647,-540,833,1595,58,-955,160,492,324,2077,-1315]"
32,Drive,"[-530,118,1367,2144,85,-714,1984]"
32,Eda,"[1120,-600,678,-56,-658,-774,1209]"
32,Lavka,"[-36,715,110,479,-35,-65,151,806,435,-634,1545]"
32,Market,"[3672,536,1274,-137,585,2274,1859,1704,911,-144,2376]"
32,Taxi,"[1764,1837,616,-260,2899,947,-109,851,-2061]"
33,Drive,"[2758,-249,-756,2443,-545,16,1009,-19,-198,2031,13,3,239,-732]"
33,Eda,"[-462,-17,727,270,-660,-1004,-698,2591,-1860,-1204,-261,-918,-3087,-13,-2599,329,-329,-239]"
33,Lavka,"[-2,-371,-1030,496,-419,184,1333,-1513,-241,127,-970,-339,1407,-1751,395,211,441,318,849,525,-1016,864,3142,-1369,-588,941]"
33,Market,"[-550,2037,-4417,-143,1284,152,-772,-401,1091,-474,-286,-157,344,857,948]"
33,Taxi,"[1212,-459,1612,197,-242,157,164,1626,80,293,-254,-141,-1599,248,-1410,1539,202]"
34,Drive,"[79,-395,700,-1344,20,-357,350,-53,655,363,-3420,2618,1879,-218,1923,754,219,744,-2994,379]"
34,Eda,"[500,2794,1758,-34,1385,640,56,-229,-347,247,-2377,1549,1554,572,-2253]"
34,Lavka,"[206,671,516,-1809,2748,-548,1209,-297,832,-95,-158,3739,-833,-883,-779,-959]"
34,Market,"[-132,184,899,-13,248,665,-1466,1215,-843,264,-2520,544,314,-3453,-132,185,796,74,-677,-606]"
34,Taxi,"[-500,132,-3263,-469,-979,1266,-770,-457,923,4538,652,260,208,-183,-1185,1039,-639,109,-8,-356,-276,994,1159]"
35,Drive,"[-187,-341,-146,-80,326]"
35,Eda,"[-1008,1069,896,420]"
35,Lavka,"[1592,-356]"
35,Market,"[-2556,-129]"
35,Taxi,"[-1049,1349,200]"
36,Drive,"[1867,944,-2355,-307,308,-1158,1480,1387,1132,-232,-212,1484,-2174,-726,3984]"
36,Eda,"[-2823,-96,-702,-738,-1480,553,369,-3169,-800,688,783,2395,-1357,1506,-465,-270]"
36,Lavka,"[-399,684,1684,2745,-693,1478,-456,912,-126,871,145,101,727,919,678,1428,134]"
36,Market,"[-198,-2275,-755,576,2058,-527,719,-300,182,-121,-1041,-1580,2533,23,-1763,33,102,1729,-1252]"
36,Taxi,"[399,1675,1120,-1453,-333,1179,3682,-85,-331,-234,-314,-400,552,574]"
37,Drive,"[-2696,-172,-288,1451,1833,1228,1125,636,-1673,1554,-1145,291,-1038,949,540,1048,257,-146,1164,527]"
37,Eda,"[1478,268,682,1152,-299,-1162,-492,-288,200,-138,1239,1498,194,207,-715,146,321,-649,-332]"
37,Lavka,"[1218,2020,423,211,337,-244,-740,523,-585,-1065,991]"
37,Market,"[172,-747,101,-2766,550,880,105,-597,432,542,953,1872]"
37,Taxi,"[141,-346,-1176,99,-284,735,683,-1194,202,-1869,3478,1422,472]"
38,Drive,"[-495,2409,698,-2664,-2033,-1422,-195,-3458,873]"
38,Eda,"[-168,406,843,-1548,-1146,1369,-402,-356,211,873,4095,863,-122,1752,2584,2224,1010]"
38,Lavka,"[1417,2140,336,-3038,-4071,116,527,-148]"
38,Market,"[-40,-1829,-2964,-157,743,82,700,-1279,-296,109,-127,131,-39]"
38,Taxi,"[-486,577,4468,-392,1015,1376,-1431,-150,2460,-994,2183,-167]"
39,Eda,"[2439,-2439,34]"
39,Lavka,[-85]
39,Market,"[269,-218,686,-686]"
40,Drive,"[-35,258,139,-1406,405,577,174,3039,-128]"
40,Eda,"[1275,765,-101,-553,1034,423,2168,898,896,-135,531,-605,2939,-438,-1319,616,-2404,-293,-2727,-133]"
40,Lavka,"[-28,6013,-709,567,-2233,953,-162,-177,-820,239,3140,638,-905,650,1733,-385]"
40,Market,"[271,-1884,21,1114,-127,-1367,2753,-1608,-981,-719]"
40,Taxi,"[-289,665,-234,2823,-2772,-812,469,651,-71,937,572,-1316]"
41,Drive,"[449,487,-94,1916]"
41,Eda,[-1407]
41,Lavka,"[3273,893,-1375,-270,-644,126,443]"
41,Market,"[-1265,-1161,1203,1091,-447,-234]"
41,Taxi,"[-449,634,-1122,204,194]"
42,Drive,"[1928,233]"
42,Eda,"[-22,389,1376,1829]"
42,Lavka,"[1597,-2820,60,160,-878]"
42,Market,"[616,-1741,-192,-830]"
42,Taxi,"[1223,924,-83,2507,450]"
43,Drive,"[2743,37,-1357,-31,302,-1404,-67,87,1381,873,2336,129,-572,-1833,23]"
43,Eda,"[75,275,-1196,1157,1513,1316,324]"
43,Lavka,"[694,-407,-317,974,1497,-2579]"
43,Market,"[-6,-845,538,2244,363,112,1070,-797,515]"
43,Taxi,"[-75,14,-85,-79,-3659,1144]"
44,Drive,"[1756,-535,253,853,557,-554,-1646,-1189]"
44,Eda,"[2001,-1613,137,1900,330,-1243,123,505,1361,-2101,-72,17,-399]"
44,Lavka,"[-210,215,1627,439,-430,-1808,3675,-3534,-3265,1939,1810,1051,182,-538]"
44,Market,"[2943,764,-374,-1679,-829,654,336,3348,-65,269,-62,611,-314,-4102]"
44,Taxi,"[-709,2491,-485,-316,-1801,-63,2460,196,1531,-82,1547,-920,-373]"
45,Drive,"[-1878,-1095,224,2845,-1595,-1165,-1983,686,-504,957,-1921,4163,-293,-240]"
45,Eda,"[1694,485,332,1250,-3508,2887,1818,-163]"
45,Lavka,"[-1298,-1716,272,2846,-987,-2676,-1284,199,206,-613]"
45,Market,"[957,1909,-145,-427,6542,473,200,568,110,-1427,600,32,812,-3918]"
45,Taxi,"[-957,176,2438,100,-53,-702,502,-479,-3139]"
46,Drive,"[318,41,2159,795,-1282]"
46,Eda,"[78,-78,317,-92,-587,1639]"
46,Lavka,"[-318,1671,2473,2926,773]"
46,Market,"[-41,-338]"
46,Taxi,"[539,749,465]"
47,Drive,"[274,2432,203]"
47,Eda,"[916,-553,-1171,-698,-1623,2931,923]"
47,Lavka,"[600,-24,657,-250,-273,147,-188,-1300]"
47,Market,"[-1490,1327,-139,130,1753,-1901,489,942]"
47,Taxi,"[-26,24,697,-13,1585]"
48,Drive,"[1058,247,-1406,587,-865]"
48,Eda,[256]
48,Lavka,"[2942,544,-582,1589]"
48,Market,"[-98,1452,3518,-2684,986,-1011]"
48,Taxi,"[98,611,-217,-1651,1590,-28,306,1334,37]"
49,Drive,"[-142,-595,-60,-1694,-935,783,2406,488,1108]"
49,Eda,"[289,1823,494,285,1154,-944,-195,-2278,1157,-483,-597,1457,-2664,-2246]"
49,Lavka,"[348,-348,-526,-1418,808,1103,60,-2003,-181,357,408,-49,-3912,135,609]"
49,Market,"[-289,789,-121,346,309,1201,211,-76,-1542,68,-526,2384,163,-658,56,1425,676,1843,624]"
49,Taxi,"[3112,433,-2655,490,-1176,944,49,166,1145,856,41]"
50,Drive,"[-1086,1686,-369,-1852,-1505,-82,3858,232]"
50,Eda,"[912,-726,899,638,813,-32,269,-225,-759,-378,-347,133,-1295,-237,-2,1041,1828,-631,329,161]"
50,Lavka,"[239,-1088,1225,-507,927,142,-1096,-1225,-2046,52]"
50,Market,"[2869,2499,1290,-133,1686,181,344,-2957,-331,-3218,756]"
50,Taxi,"[263,1090,854,-982,-210,-380,266,953,-1601,-398]"
51,Drive,"[85,59,299]"
51,Eda,"[1280,-1280,958,261,-450,-434,-884,588]"
51,Lavka,"[2288,795,-385,2800,188]"
51,Market,"[-1248,-604,-417,16,-1599,713]"
51,Taxi,"[-1040,1512,-1539,1777,516,-291,-944,171]"
52,Taxi,[357]
53,Drive,"[2807,619,-1434]"
53,Eda,"[303,888]"
53,Lavka,"[69,-1344,-889,433,1918]"
53,Market,"[-894,1303,1402,291]"
53,Taxi,"[1125,-1523,17,415]"
54,Drive,"[-946,971,-3691,-104,1422,39,-52,663,1313,791,2239,-1635,-508]"
54,Eda,"[784,-1266,-1921,-769,3991,1480,-335,355,-197,-168,-105,-226,696,-431,3923]"
54,Lavka,"[820,-142,-82,-491,2220,-507,2979,-1332,562,3380,262,361,514,732]"
54,Market,"[1038,-846,1944,954,-1444,-1208,322,1519,2647,-530,-935,-1335]"
54,Taxi,"[2791,370,-658,129,3151,1474,408,1151,1916,-450,760,-30,-194,332,860,-217,-3019,2362,-700,-841]"
55,Drive,"[445,1029,341,70]"
55,Eda,"[834,1634]"
55,Lavka,"[1210,45,719,634,-194,-46]"
55,Market,"[-61,249]"
55,Taxi,[1228]
56,Drive,"[501,1244,-429,1327,-227]"
56,Eda,"[853,-735,-124]"
56,Lavka,"[678,46,-1073,2935,587,276,1323]"
56,Market,"[446,-491,-145]"
56,Taxi,"[461,932,1587]"
57,Drive,"[371,-1528,-333,2382]"
57,Eda,"[585,2185,-2121]"
57,Lavka,"[-149,1477,-585,212]"
57,Market,"[1446,566]"
57,Taxi,"[-811,-473,197]"
58,Drive,"[789,-40,-348,1090,524,2922]"
58,Eda,"[2925,1946,-468,-3049,1515,-533,-989,-787,-1179,-2238,1110,619]"
58,Lavka,"[3252,464,-36,1066,-1461,1179,2238,1483,210,707,-1444,217,-2242,1968,-116]"
58,Market,"[481,-1113,-176,-339,2666,1842]"
58,Taxi,"[-3700,-568,531,-149,-1879,-772,969,-435,1292]"
59,Drive,"[-369,499,-1883]"
59,Eda,"[1004,-611]"
59,Lavka,"[5623,547,-140,-687]"
59,Market,"[-1004,369,2521,197,492]"
59,Taxi,"[880,-865,-124,-916,1000]"
60,Lavka,[-886]
60,Market,[379]
60,Taxi,[1883]
61,Drive,"[537,-1249,1097,636,-663,-2608,-1581,21,-3839,-747,1017,-345,701]"
61,Eda,"[-28,160,991,1086,517,-433,1561,1119,2068,1121,-971,-753,-272,639]"
61,Lavka,"[28,-160,508,2174,749,676,-386,834,-399,-900]"
61,Market,"[217,1579,-719,957,-1003,-173,149,-1155,-5,2980]"
61,Taxi,"[495,-1184,464,2887,-128,57,664,107,185,-374]"
62,Drive,"[229,185,2480,139,-1805,-463,-494]"
62,Eda,"[354,-230,-468,1602]"
62,Lavka,"[-354,-353,-79,488,308]"
62,Market,"[-396,-699]"
62,Taxi,"[1564,168,164,-325,596,-72,-602,276]"
63,Drive,"[1913,-103,578,-390,129,-601,87,630]"
63,Eda,"[1212,-272,95,578,109,-66]"
63,Lavka,"[291,-496,920,-396,963,347,-426]"
63,Market,"[-1203,1071,932,-809,489,1134,-1413,31,-348]"
63,Taxi,"[-3225,2,103,1494,140,279,-333]"
64,Drive,"[752,-410,-530,-2993,-81,-1085,17,-419,594,530,-75,2593,141,-1303,-199,59,-21,-304,32,2331,-1309,-119,-1065,-5,119]"
64,Eda,"[1449,-766,1343,162,575,-115,1664,3036,700,1195,-1315,333,-629,-730,1006,174,-451,-1611]"
64,Lavka,"[-133,-444,-417,-487,-205,608,-1319,872,-1262,2100,-1211,-404,4100,-922]"
64,Market,"[845,1296,2134,-2688,906,956,-708,1026,713,3380,308,2959,2222,-478,-1379,-1696,758,2546,-439,418,-826,-916,59]"
64,Taxi,"[1202,-1202,1140,-135,561,-818,-101,-181,419,-2069,621,-278,-1053,-2091,328,-269,1018,-126]"
65,Drive,"[2041,1333]"
65,Eda,"[-792,921,-1190]"
65,Lavka,"[-783,-326]"
65,Market,[-1099]
65,Taxi,"[555,-454]"
66,Drive,"[1001,-934,-875,650]"
66,Eda,"[330,2541,-7]"
66,Lavka,[-377]
66,Market,"[365,-365,-20,-941]"
66,Taxi,"[1033,-1751,370,322]"
67,Drive,"[201,-1593,1827,-934,-596,-115,47,1770,943,76,1267,1498,391,-878,-2155,-207]"
67,Eda,"[158,494,1845,1076,-399,917,621,-562,-82,-95,520,-38,2013,924]"
67,Lavka,"[-690,150,-376,-667,16,1997,60,1223,275,1752,-505,-1171,1771,138,-45,-1732,-247,-100,38,-235,1419,-459,307]"
67,Market,"[364,-1139,664,-1915,884,-2549,-544,-1343,291,768,-527,-649,-3066,-2512,761,-208,1838]"
67,Taxi,"[690,4445,-787,300,-2491,613,-198,482,-1975,-761,-15,171,320,803]"
68,Lavka,[1793]
69,Drive,"[788,-125,-2164,-4118,-300,443,-249,-30,-1622,-41,630,-335,-295,-340,332,393,-779,1045,2129,273,-920,492,686,-2,-1203,-717,431,1011]"
69,Eda,"[-484,787,-1456,-1074,-652,407,-90,917,291,1026,-1808,-1820,469,-398,-55,504]"
69,Lavka,"[970,3458,885,781,1245,-2976,-461,2246,-1684,9,-305,167,-469,1228,2058]"
69,Market,"[2373,942,-989,1912,-838,1450,-489,1621,591,-908,386,1485,-636,-38,-1672,-167,117,203,373]"
69,Taxi,"[-23,2043,300,-3015,-397,2024,-511,1208,347,-936,-1697,1104,-564,-334,-391,-642,-766,-795]"
70,Drive,[-875]
70,Eda,"[-1608,1449]"
70,Lavka,"[711,-1056,-257]"
70,Market,"[-186,-199,1185,929,-929]"
70,Taxi,"[1489,742,54,-480]"
71,Drive,"[470,-1168,-484,882,-252,215,-2411,225,-4834,317]"
71,Eda,"[-201,-1904,1382,73,623,360,1418,-1713,37,-647,-634,-6,603,149,-3209,293,-1235,-469]"
71,Lavka,"[-470,-349,348,1904,-369,297,-544,9082,-1734,202,-2115,-612,207,-862,185,1172,1039,-529]"
71,Market,"[-348,184,474,5,3321,-911,-1,-1219,1519,-1741,-237,1109,-151,305,2960,-3903,-317]"
71,Taxi,"[185,164,201,-910,680,982,2000,-1146,3202,-330,905,-529,-1755,2055,-173,-617,-754,36,-58,652,-61,912]"
72,Drive,"[1036,377,61,-67,1096,1610]"
72,Eda,"[1112,-990]"
72,Lavka,"[-539,-1096,51,-355,14,149]"
72,Market,"[726,1562,-2389,-242,1456,591,927,309,234]"
72,Taxi,"[-178,-292,37,-92,-857]"
73,Drive,"[4117,-337,477,-443,629,403,416,-235,275,42,628]"
73,Eda,"[770,911,4247,120,307,584,613,-609,621,-448,240,-1474,-675]"
73,Lavka,"[297,-466,954,-58,-2153,-494,1116,-877,792,110,224]"
73,Market,"[239,-70,1445,2783,-289,-995,485,1817,-1576,-180,2231]"
73,Taxi,"[-2156,738,-1168,-509,608,573,-1743,-1107,301,-405]"
74,Drive,"[1052,427,1069,160,-695,-47,855,352,1416,-944,-1359,1781,640,-901,-311,-109,-521,2784,-563,426,-81,-1346]"
74,Eda,"[-555,-24,-3134,-2017,-1215,-1185,-142,-755,351,876,-396,-1343,356,-256]"
74,Lavka,"[577,1767,-1969,-595,246,1416,-154,476,2442,1020,373,-530,599,362]"
74,Market,"[1053,-387,-140,-142,1318,-406,-711,755,-40,591,114,-1122,249,2214,255,1854,709,5299,-1033]"
74,Taxi,"[637,-32,-58,961,-387,-246,562,1597,-293,-1416,1268,-767,2812,1212,21,938,87,-1680]"
75,Drive,"[-115,783,-1657,1770,-1752,927,-576,-2381,2134,1968,-664,791,-779,854,1321,-5322,-603,-1779,-306]"
75,Eda,"[353,-1213,-529,3124,-917,1867,-196,818,-2286,690,-2601,854,-2397,-110,950,723,657,1972,-1437]"
75,Lavka,"[-388,4,115,1103,-319,31,-1202,466,240,-800,-78,77,312,1669,-59,236,577,772,688,732,23,-1039,1319]"
75,Market,"[1773,136,4582,-915,-670,618,-303,2957,-403,-374,-580]"
75,Taxi,"[-1835,820,210,920,43,-80,-529,-558,427,-398,-690,-167]"
76,Drive,"[1667,2597,770,-2749,-2328,1260,1462,1400,324,214,855,-286,-1887,1537,-1114,2291,49]"
76,Eda,"[648,-266,2437,2941,-379,1658,3817,-178,-436,-1513,2982,591,-807,-290,-730]"
76,Lavka,"[558,-305,-739,-2496,-15,208,105,824,-2140,174,1365,-200,-1565,-295,323]"
76,Market,"[1067,-2734,589,1134,-275,-55,1251,-1108,815,108,2439,2253,-857,-106,110,24,264]"
76,Taxi,"[650,-149,1011,-766,1151,-1281,454,129,662,723,814,2454,444,291,826,-1665,793,-901]"
77,Drive,"[977,68,1705,360,1406,701,767]"
